service_limited,cpus_given,tracing,jaeger_e2e
compose-post-service,0.1,compose-post-service,69888.998
home-timeline-service,0.1,compose-post-service,3.971
media-service,0.1,compose-post-service,5.549
post-storage-service,0.1,compose-post-service,5.224
social-graph-service,0.1,compose-post-service,5.475
text-service,0.1,compose-post-service,19601.683
unique-id-service,0.1,compose-post-service,4.939
url-shorten-service,0.1,compose-post-service,5.241
user-mention-service,0.1,compose-post-service,0.365
user-service,0.1,compose-post-service,6.368
user-timeline-service,0.1,compose-post-service,5.548
compose-post-service,0.2,compose-post-service,50703.713
home-timeline-service,0.2,compose-post-service,4.618
media-service,0.2,compose-post-service,4.210
post-storage-service,0.2,compose-post-service,4.245
social-graph-service,0.2,compose-post-service,4.725
text-service,0.2,compose-post-service,5.845
unique-id-service,0.2,compose-post-service,4.457
url-shorten-service,0.2,compose-post-service,5.594
user-mention-service,0.2,compose-post-service,5.919
user-service,0.2,compose-post-service,5.740
user-timeline-service,0.2,compose-post-service,5.784
compose-post-service,0.3,compose-post-service,101.067
home-timeline-service,0.3,compose-post-service,6.055
media-service,0.3,compose-post-service,5.637
post-storage-service,0.3,compose-post-service,5.281
social-graph-service,0.3,compose-post-service,5.346
text-service,0.3,compose-post-service,5.485
unique-id-service,0.3,compose-post-service,5.528
url-shorten-service,0.3,compose-post-service,4.893
user-mention-service,0.3,compose-post-service,6.008
user-service,0.3,compose-post-service,6.403
user-timeline-service,0.3,compose-post-service,5.147
compose-post-service,0.4,compose-post-service,4.103
home-timeline-service,0.4,compose-post-service,5.998
media-service,0.4,compose-post-service,4.797
post-storage-service,0.4,compose-post-service,4.581
social-graph-service,0.4,compose-post-service,4.409
text-service,0.4,compose-post-service,4.146
unique-id-service,0.4,compose-post-service,5.162
url-shorten-service,0.4,compose-post-service,5.313
user-mention-service,0.4,compose-post-service,5.745
user-service,0.4,compose-post-service,5.190
user-timeline-service,0.4,compose-post-service,4.862
compose-post-service,0.5,compose-post-service,4.224
home-timeline-service,0.5,compose-post-service,4.724
media-service,0.5,compose-post-service,4.842
post-storage-service,0.5,compose-post-service,4.849
social-graph-service,0.5,compose-post-service,4.092
text-service,0.5,compose-post-service,5.274
unique-id-service,0.5,compose-post-service,3.879
url-shorten-service,0.5,compose-post-service,7.042
user-mention-service,0.5,compose-post-service,4.875
user-service,0.5,compose-post-service,5.101
user-timeline-service,0.5,compose-post-service,5.382
compose-post-service,0.6,compose-post-service,4.269
home-timeline-service,0.6,compose-post-service,5.965
media-service,0.6,compose-post-service,5.627
post-storage-service,0.6,compose-post-service,5.453
social-graph-service,0.6,compose-post-service,5.471
text-service,0.6,compose-post-service,5.238
unique-id-service,0.6,compose-post-service,4.694
url-shorten-service,0.6,compose-post-service,5.225
user-mention-service,0.6,compose-post-service,6.264
user-service,0.6,compose-post-service,5.397
user-timeline-service,0.6,compose-post-service,5.669
compose-post-service,0.7,compose-post-service,4.560
home-timeline-service,0.7,compose-post-service,5.636
media-service,0.7,compose-post-service,5.268
post-storage-service,0.7,compose-post-service,5.230
social-graph-service,0.7,compose-post-service,5.320
text-service,0.7,compose-post-service,5.222
unique-id-service,0.7,compose-post-service,4.983
url-shorten-service,0.7,compose-post-service,4.649
user-mention-service,0.7,compose-post-service,6.070
user-service,0.7,compose-post-service,5.274
user-timeline-service,0.7,compose-post-service,8.719
compose-post-service,0.8,compose-post-service,6.217
home-timeline-service,0.8,compose-post-service,4.346
media-service,0.8,compose-post-service,5.211
post-storage-service,0.8,compose-post-service,4.248
social-graph-service,0.8,compose-post-service,5.167
text-service,0.8,compose-post-service,5.546
unique-id-service,0.8,compose-post-service,5.503
url-shorten-service,0.8,compose-post-service,5.904
user-mention-service,0.8,compose-post-service,5.198
user-service,0.8,compose-post-service,4.863
user-timeline-service,0.8,compose-post-service,4.681
compose-post-service,0.9,compose-post-service,5.003
home-timeline-service,0.9,compose-post-service,5.039
media-service,0.9,compose-post-service,5.634
post-storage-service,0.9,compose-post-service,5.339
social-graph-service,0.9,compose-post-service,4.960
text-service,0.9,compose-post-service,5.040
unique-id-service,0.9,compose-post-service,5.130
url-shorten-service,0.9,compose-post-service,5.877
user-mention-service,0.9,compose-post-service,8.488
user-service,0.9,compose-post-service,5.444
user-timeline-service,0.9,compose-post-service,6.247
compose-post-service,1.0,compose-post-service,5.838
home-timeline-service,1.0,compose-post-service,4.101
media-service,1.0,compose-post-service,4.447
post-storage-service,1.0,compose-post-service,6.246
social-graph-service,1.0,compose-post-service,5.742
text-service,1.0,compose-post-service,5.197
unique-id-service,1.0,compose-post-service,6.820
url-shorten-service,1.0,compose-post-service,7.768
user-mention-service,1.0,compose-post-service,5.022
user-service,1.0,compose-post-service,5.009
user-timeline-service,1.0,compose-post-service,5.607
compose-post-service,0.1,home-timeline-service,69115.246
home-timeline-service,0.1,home-timeline-service,5.860
media-service,0.1,home-timeline-service,6.389
post-storage-service,0.1,home-timeline-service,4.595
social-graph-service,0.1,home-timeline-service,4.043
text-service,0.1,home-timeline-service,20201.772
unique-id-service,0.1,home-timeline-service,4.660
url-shorten-service,0.1,home-timeline-service,4.840
user-mention-service,0.1,home-timeline-service,14094.869
user-service,0.1,home-timeline-service,5.405
user-timeline-service,0.1,home-timeline-service,5.335
compose-post-service,0.2,home-timeline-service,50068.300
home-timeline-service,0.2,home-timeline-service,3.970
media-service,0.2,home-timeline-service,4.810
post-storage-service,0.2,home-timeline-service,6.089
social-graph-service,0.2,home-timeline-service,4.807
text-service,0.2,home-timeline-service,5.263
unique-id-service,0.2,home-timeline-service,6.796
url-shorten-service,0.2,home-timeline-service,5.106
user-mention-service,0.2,home-timeline-service,5.008
user-service,0.2,home-timeline-service,6.210
user-timeline-service,0.2,home-timeline-service,5.663
compose-post-service,0.3,home-timeline-service,200.974
home-timeline-service,0.3,home-timeline-service,5.308
media-service,0.3,home-timeline-service,6.073
post-storage-service,0.3,home-timeline-service,5.550
social-graph-service,0.3,home-timeline-service,6.771
text-service,0.3,home-timeline-service,6.143
unique-id-service,0.3,home-timeline-service,5.151
url-shorten-service,0.3,home-timeline-service,4.585
user-mention-service,0.3,home-timeline-service,4.908
user-service,0.3,home-timeline-service,5.045
user-timeline-service,0.3,home-timeline-service,5.494
compose-post-service,0.4,home-timeline-service,4.834
home-timeline-service,0.4,home-timeline-service,4.772
media-service,0.4,home-timeline-service,4.947
post-storage-service,0.4,home-timeline-service,4.049
social-graph-service,0.4,home-timeline-service,5.984
text-service,0.4,home-timeline-service,4.720
unique-id-service,0.4,home-timeline-service,6.921
url-shorten-service,0.4,home-timeline-service,5.480
user-mention-service,0.4,home-timeline-service,5.798
user-service,0.4,home-timeline-service,4.925
user-timeline-service,0.4,home-timeline-service,5.471
compose-post-service,0.5,home-timeline-service,5.952
home-timeline-service,0.5,home-timeline-service,6.049
media-service,0.5,home-timeline-service,5.692
post-storage-service,0.5,home-timeline-service,4.849
social-graph-service,0.5,home-timeline-service,4.771
text-service,0.5,home-timeline-service,6.449
unique-id-service,0.5,home-timeline-service,6.434
url-shorten-service,0.5,home-timeline-service,5.037
user-mention-service,0.5,home-timeline-service,5.732
user-service,0.5,home-timeline-service,4.526
user-timeline-service,0.5,home-timeline-service,4.751
compose-post-service,0.6,home-timeline-service,5.692
home-timeline-service,0.6,home-timeline-service,5.742
media-service,0.6,home-timeline-service,6.885
post-storage-service,0.6,home-timeline-service,5.678
social-graph-service,0.6,home-timeline-service,4.662
text-service,0.6,home-timeline-service,6.554
unique-id-service,0.6,home-timeline-service,5.766
url-shorten-service,0.6,home-timeline-service,5.895
user-mention-service,0.6,home-timeline-service,5.393
user-service,0.6,home-timeline-service,6.890
user-timeline-service,0.6,home-timeline-service,5.420
compose-post-service,0.7,home-timeline-service,4.776
home-timeline-service,0.7,home-timeline-service,4.407
media-service,0.7,home-timeline-service,4.759
post-storage-service,0.7,home-timeline-service,4.867
social-graph-service,0.7,home-timeline-service,4.150
text-service,0.7,home-timeline-service,5.232
unique-id-service,0.7,home-timeline-service,5.535
url-shorten-service,0.7,home-timeline-service,5.746
user-mention-service,0.7,home-timeline-service,5.798
user-service,0.7,home-timeline-service,7.505
user-timeline-service,0.7,home-timeline-service,5.757
compose-post-service,0.8,home-timeline-service,4.152
home-timeline-service,0.8,home-timeline-service,5.434
media-service,0.8,home-timeline-service,6.937
post-storage-service,0.8,home-timeline-service,4.772
social-graph-service,0.8,home-timeline-service,4.777
text-service,0.8,home-timeline-service,5.465
unique-id-service,0.8,home-timeline-service,5.541
url-shorten-service,0.8,home-timeline-service,7.646
user-mention-service,0.8,home-timeline-service,5.194
user-service,0.8,home-timeline-service,5.498
user-timeline-service,0.8,home-timeline-service,6.408
compose-post-service,0.9,home-timeline-service,5.103
home-timeline-service,0.9,home-timeline-service,4.465
media-service,0.9,home-timeline-service,4.152
post-storage-service,0.9,home-timeline-service,8.909
social-graph-service,0.9,home-timeline-service,5.221
text-service,0.9,home-timeline-service,4.933
unique-id-service,0.9,home-timeline-service,5.901
url-shorten-service,0.9,home-timeline-service,5.680
user-mention-service,0.9,home-timeline-service,5.624
user-service,0.9,home-timeline-service,5.468
user-timeline-service,0.9,home-timeline-service,6.287
compose-post-service,1.0,home-timeline-service,4.700
home-timeline-service,1.0,home-timeline-service,4.787
media-service,1.0,home-timeline-service,4.579
post-storage-service,1.0,home-timeline-service,5.979
social-graph-service,1.0,home-timeline-service,4.872
text-service,1.0,home-timeline-service,5.727
unique-id-service,1.0,home-timeline-service,5.169
url-shorten-service,1.0,home-timeline-service,7.768
user-mention-service,1.0,home-timeline-service,5.861
user-service,1.0,home-timeline-service,7.065
user-timeline-service,1.0,home-timeline-service,5.685
compose-post-service,0.1,media-service,73590.185
home-timeline-service,0.1,media-service,5.405
media-service,0.1,media-service,5.373
post-storage-service,0.1,media-service,5.794
social-graph-service,0.1,media-service,5.115
text-service,0.1,media-service,0.329
unique-id-service,0.1,media-service,6.200
url-shorten-service,0.1,media-service,4.991
user-mention-service,0.1,media-service,10639.352
user-service,0.1,media-service,6.773
user-timeline-service,0.1,media-service,5.087
compose-post-service,0.2,media-service,357.140
home-timeline-service,0.2,media-service,5.091
media-service,0.2,media-service,6.115
post-storage-service,0.2,media-service,3.994
social-graph-service,0.2,media-service,4.794
text-service,0.2,media-service,5.185
unique-id-service,0.2,media-service,5.203
url-shorten-service,0.2,media-service,5.056
user-mention-service,0.2,media-service,5.183
user-service,0.2,media-service,5.060
user-timeline-service,0.2,media-service,5.037
compose-post-service,0.3,media-service,601.485
home-timeline-service,0.3,media-service,4.663
media-service,0.3,media-service,4.945
post-storage-service,0.3,media-service,4.756
social-graph-service,0.3,media-service,4.159
text-service,0.3,media-service,5.434
unique-id-service,0.3,media-service,5.076
url-shorten-service,0.3,media-service,4.528
user-mention-service,0.3,media-service,5.282
user-service,0.3,media-service,5.273
user-timeline-service,0.3,media-service,6.804
compose-post-service,0.4,media-service,4.374
home-timeline-service,0.4,media-service,6.138
media-service,0.4,media-service,4.655
post-storage-service,0.4,media-service,4.462
social-graph-service,0.4,media-service,4.842
text-service,0.4,media-service,4.720
unique-id-service,0.4,media-service,5.417
url-shorten-service,0.4,media-service,7.618
user-mention-service,0.4,media-service,5.914
user-service,0.4,media-service,5.272
user-timeline-service,0.4,media-service,6.175
compose-post-service,0.5,media-service,5.150
home-timeline-service,0.5,media-service,5.169
media-service,0.5,media-service,6.020
post-storage-service,0.5,media-service,5.153
social-graph-service,0.5,media-service,5.608
text-service,0.5,media-service,5.106
unique-id-service,0.5,media-service,5.190
url-shorten-service,0.5,media-service,7.350
user-mention-service,0.5,media-service,5.579
user-service,0.5,media-service,4.512
user-timeline-service,0.5,media-service,5.748
compose-post-service,0.6,media-service,4.900
home-timeline-service,0.6,media-service,5.486
media-service,0.6,media-service,3.969
post-storage-service,0.6,media-service,4.979
social-graph-service,0.6,media-service,4.456
text-service,0.6,media-service,6.649
unique-id-service,0.6,media-service,5.076
url-shorten-service,0.6,media-service,4.912
user-mention-service,0.6,media-service,6.730
user-service,0.6,media-service,4.852
user-timeline-service,0.6,media-service,5.305
compose-post-service,0.7,media-service,5.531
home-timeline-service,0.7,media-service,5.193
media-service,0.7,media-service,5.580
post-storage-service,0.7,media-service,6.357
social-graph-service,0.7,media-service,6.221
text-service,0.7,media-service,6.079
unique-id-service,0.7,media-service,5.430
url-shorten-service,0.7,media-service,5.090
user-mention-service,0.7,media-service,5.914
user-service,0.7,media-service,7.219
user-timeline-service,0.7,media-service,5.510
compose-post-service,0.8,media-service,5.076
home-timeline-service,0.8,media-service,4.672
media-service,0.8,media-service,5.163
post-storage-service,0.8,media-service,7.419
social-graph-service,0.8,media-service,6.718
text-service,0.8,media-service,4.766
unique-id-service,0.8,media-service,5.769
url-shorten-service,0.8,media-service,6.608
user-mention-service,0.8,media-service,5.845
user-service,0.8,media-service,5.072
user-timeline-service,0.8,media-service,6.184
compose-post-service,0.9,media-service,4.957
home-timeline-service,0.9,media-service,4.049
media-service,0.9,media-service,4.409
post-storage-service,0.9,media-service,5.264
social-graph-service,0.9,media-service,7.060
text-service,0.9,media-service,4.215
unique-id-service,0.9,media-service,4.767
url-shorten-service,0.9,media-service,5.192
user-mention-service,0.9,media-service,6.211
user-service,0.9,media-service,6.142
user-timeline-service,0.9,media-service,5.247
compose-post-service,1.0,media-service,5.475
home-timeline-service,1.0,media-service,4.794
media-service,1.0,media-service,5.207
post-storage-service,1.0,media-service,4.970
social-graph-service,1.0,media-service,4.284
text-service,1.0,media-service,6.103
unique-id-service,1.0,media-service,5.236
url-shorten-service,1.0,media-service,4.890
